MemberNumber,DateJoined,PoliticallyExposedPerson,SecondACHolderPoliticallyExposedPerson,AccountStatus,AccountType,IntendedPurposeOfBusinessRelationship,AssetsHeldInAccount,TransactionVolumesLastQuarter,LengthOfBusinessRelationship,QualityOfCDDOnFile,CountryOfResidence_BasedOnMemberActiveAddress,SecondACHolderCountryOfResidence,FundsChannelIn,FundsChannelOut,DestinationOfFunds,SourceOfWealth,SecondACHolderSourceOfWealth,SourceOfFunds,SecondACHolderSourceOfFunds,ExpextedMonthlyLodgement,SecondACHolderExpextedMonthlyLodgement,EmploymentStatus,SecondACHolderEmploymentStatus,Occupation,SecondACHolderOccupation,BeneficialOwner,PrimaryServiceUsed,AccountActivity,OtherRiskFactors
1000000000,10-10-97,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
2,18/03/1985,No,,Active,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,Not a PEP,,Pension - state,,,,Retired                       ,,Transfer,,,,,
1000000001,04-08-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
4,02-12-82,No,,Active,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,Not a PEP,,Pension - state,,,,Retired                       ,,Retired,,,,,
1000006035,05-01-81,No,,Deceased,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,Employed Full-time            ,,Transfer,,,,,
6,29/09/1978,No,,Active,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,Unemployed                    ,,Transfer,,,,,
7,26/05/1967,No,,Deceased,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,Employed Full-time            ,,Transfer,,,,,
8,17/02/1984,No,,Dormant,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,Unemployed                    ,,Transfer,,,,,
1000000002,12-08-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
1000000003,21/07/1988,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
1000000004,23/04/1988,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
1000000005,04-08-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
1000000006,12-08-88,No,,Deceased,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
1000000007,08-04-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
1000000008,04-11-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
16,18/01/1986,No,,Active,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,Not a PEP,,Income - Salary / Wages,,,,Employed Full-time            ,,Transfer,,,,,
1000000009,12-08-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
18,22/12/1972,No,,Active,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,Not a PEP,,Income - Salary / Wages,,,,Employed Full-time            ,,Transfer,,,,,
1000006114,26/05/1967,No,,Deceased,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,Retired                       ,,Transfer,,,,,
1000000010,12-08-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
1000000011,20/06/1988,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
22,26/05/1967,No,,Deceased,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,Not a PEP,,Pension - state,,,,Retired                       ,,Transfer,,,,,
1000000012,18/04/1988,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
24,01-04-79,No,,Active,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,Not a PEP,,Income - Salary / Wages,,,,Unemployed                    ,,Transfer,,,,,
1000006224,26/05/1967,No,,Deceased,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,Self Employed                 ,,Transfer,,,,,
26,26/05/1967,No,,Deceased,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,Not a PEP,,Pension - state,,,,Unemployed                    ,,Transfer,,,,,
1000000013,04-08-88,No,,Closed,Single Adult,Personal Savings,0 - 25000,0 - 6000,13 Months+,,Ireland,,,,,,,,,,,,,,,,,,
