Account Number,Account Type,Employment Status,Employment Position,Age,Nationality,Account Status,Risk Code,Date Joined
7,SINGLE,EMPLOYED FULL-TIME,CONSTRUCTION WORKER,40,IRISH,ACTIVE,LO,11-Jan-90
10,SINGLE,RETIRED,Not Available,84,IRISH,ACTIVE,LO,24-Jan-90
14,SINGLE,RETIRED,STATE PENSION NON CONT,78,IRISH,ACTIVE,LO,16-Feb-79
20,SINGLE,RETIRED,STATE PENSION,78,IRISH,ACTIVE,LO,30-Oct-67
33,SINGLE,RETIRED,Not Available,75,IRISH,ACTIVE,LO,18-Dec-67
42,SINGLE,RETIRED,Not Available,75,IRISH,ACTIVE,LO,24-Feb-79
46,SINGLE,UNEMPLOYED,Not Available,64,IRISH,ACTIVE,LO,25-Nov-92
50,SINGLE,RETIRED,JOINT STATE PENSION,80,IRISH,ACTIVE,LO,22-Nov-67
53,SINGLE,EMPLOYED PART-TIME,SECRETARY,56,IRISH,ACTIVE,LO,26-Jan-90
67,SINGLE,EMPLOYED FULL-TIME,SOCIAL CARE WRKER,34,IRISH,ACTIVE,LO,04-Oct-02
68,SINGLE,EMPLOYED FULL-TIME,MANAGER,55,IRISH,ACTIVE,LO,26-Jan-90
76,SINGLE,Not Available,Not Available,76,IRISH,ACTIVE,LO,12-Jan-68
105,SINGLE,EMPLOYED FULL-TIME,CUST.SERV MANGR,60,IRISH,ACTIVE,LO,29-Jan-90
114,SINGLE,RETIRED,STATE PENSION,70,IRISH,ACTIVE,LO,27-Jul-79
127,SINGLE,EMPLOYED PART-TIME,Not Available,64,IRISH,ACTIVE,LO,21-Apr-79
141,SINGLE,RETIRED,STATE PENSION,80,IRISH,ACTIVE,LO,04-May-79
147,SINGLE,RETIRED,PENSION,78,IRISH,ACTIVE,LO,11-Jan-68
150,SINGLE,UNEMPLOYED,DISSABILITY INCOME,61,IRISH,ACTIVE,LO,31-Jan-90
163,SINGLE,RETIRED,PENSIONER,71,IRISH,ACTIVE,LO,01-Feb-90
165,SINGLE,EMPLOYED FULL-TIME,TEACHER,40,IRISH,ACTIVE,LO,02-Feb-90
172,SINGLE,EMPLOYED FULL-TIME,MECHANIC,65,IRISH,ACTIVE,LO,02-Feb-90
178,SINGLE,RETIRED,STATE PENSION,76,IRISH,ACTIVE,LO,22-Nov-85
199,SINGLE,Not Available,Not Available,50,IRISH,ACTIVE,LO,06-Feb-90
202,SINGLE,RETIRED,HOUSEWIFE,76,IRISH,ACTIVE,LO,16-Jun-79
203,SINGLE,EMPLOYED FULL-TIME,CLERICAL OFFICER,34,IRISH,ACTIVE,LO,07-Feb-90
215,SINGLE,RETIRED,PENSION,87,IRISH,ACTIVE,LO,24-Jun-79
229,SINGLE,RETIRED,TELECOM EIREANN,76,IRISH,ACTIVE,LO,12-Jan-68
230,SINGLE,RETIRED,RETIRED,79,IRISH,ACTIVE,LO,06-Jul-79
240,SINGLE,EMPLOYED FULL-TIME,ELECTRICIAN,52,IRISH,ACTIVE,LO,07-Jul-79
241,SINGLE,DISABILITY,DISABILITY INCOME,63,IRISH,ACTIVE,LO,13-Jul-79
244,SINGLE,EMPLOYED FULL-TIME,STORES CONTROLLER,58,IRISH,ACTIVE,LO,09-Feb-90
246,SINGLE,SELF EMPLOYED,PLASTERER,57,IRISH,ACTIVE,LO,20-Jul-79
254,SINGLE,RETIRED,ELECTRITIAN,73,IRISH,ACTIVE,LO,21-Jul-79
259,SINGLE,EMPLOYED FULL-TIME,ADMIN SECRETARY,53,IRISH,ACTIVE,LO,09-Feb-90
261,SINGLE,EMPLOYED FULL-TIME,GENERAL OPERATIVE,64,IRISH,ACTIVE,LO,28-Jul-79
262,SINGLE,RETIRED,TRANSITION PENSION,66,IRISH,ACTIVE,LO,09-Feb-90
273,SINGLE,EMPLOYED FULL-TIME,FACTORY WORKER,70,IRISH,ACTIVE,LO,17-Aug-79
275,SINGLE,EMPLOYED PART-TIME,HORTICULTURIST,53,IRISH,ACTIVE,LO,09-Feb-90
304,SINGLE,EMPLOYED FULL-TIME,TEACHER,53,IRISH,ACTIVE,LO,07-Sep-79
