Account Number,Financial Month,Date,Transaction No,Transaction Type,Trans Type Category,Transaction Note,Trans In Amount ,Trans Out Amount
7,23-Dec,01-Dec-23,46980801,SD,EFT,Not Available,400,0
7,23-Dec,08-Dec-23,46997807,SD,EFT,Not Available,400,0
7,23-Dec,15-Dec-23,47013444,SD,EFT,Not Available,400,0
7,23-Dec,22-Dec-23,47030043,SD,EFT,Not Available,400,0
7,23-Dec,22-Dec-23,47033716,1,COUNTER,Not Available,0,-600
7,23-Dec,29-Dec-23,47043363,SD,EFT,Not Available,400,0
10,23-Dec,05-Dec-23,46991883,1,COUNTER,Not Available,0,"-2,117.03"
10,23-Dec,05-Dec-23,46991885,1,COUNTER,Not Available,0,-500
10,23-Dec,22-Dec-23,47033693,1,COUNTER,Not Available,75,0
10,23-Dec,22-Dec-23,47033696,1,COUNTER,Not Available,0,-75
14,23-Dec,08-Dec-23,47000799,N,COUNTER,Not Available,0,"-1,600.00"
14,23-Dec,08-Dec-23,47000859,N,COUNTER,"Share transfer of €2,500 and member will pay €20 per week to clear loan before age 80 (AMG)","2,500.00","-2,500.00"
14,23-Dec,14-Dec-23,47013019,4,COUNTER,Not Available,20,0
14,23-Dec,21-Dec-23,47029848,4,COUNTER,Not Available,20,0
14,23-Dec,29-Dec-23,47046109,4,COUNTER,Not Available,20,0
20,23-Dec,06-Dec-23,46993529,N,COUNTER,Not Available,"1,100.00",0
33,23-Dec,01-Dec-23,46982272,SCR,EFT,Not Available,298.3,0
33,23-Dec,01-Dec-23,46984861,SDD,EFT,Not Available,0,-15
33,23-Dec,01-Dec-23,46984862,SDD,EFT,Not Available,0,-15
33,23-Dec,01-Dec-23,46985646,TFER,Not Available,Not Available,50,-100
33,23-Dec,02-Dec-23,46986527,MP04,POS,Not Available,0,-126.21
33,23-Dec,02-Dec-23,46986597,MP02,ATM TRANSACTIONS,Not Available,0,-100
33,23-Dec,05-Dec-23,46990346,SCR,EFT,Not Available,35.65,0
33,23-Dec,07-Dec-23,46994879,SCR,EFT,Not Available,274,0
33,23-Dec,08-Dec-23,46999195,SCR,EFT,Not Available,563.6,0
33,23-Dec,08-Dec-23,47002108,TFER,Not Available,Not Available,50,-100
33,23-Dec,11-Dec-23,47005059,MP02,ATM TRANSACTIONS,Not Available,0,-100
33,23-Dec,12-Dec-23,47008254,SDD,EFT,Not Available,0,-126
33,23-Dec,14-Dec-23,47010769,SCR,EFT,Not Available,137,0
33,23-Dec,15-Dec-23,47014856,SCR,EFT,Not Available,298.3,0
33,23-Dec,15-Dec-23,47017859,TFER,Not Available,Not Available,50,-100
33,23-Dec,21-Dec-23,47027180,SCR,EFT,Not Available,274,0
33,23-Dec,22-Dec-23,47031552,SCR,EFT,Not Available,596.6,0
33,23-Dec,22-Dec-23,47031634,SCR,EFT,Not Available,129.78,0
33,23-Dec,22-Dec-23,47034313,N,COUNTER,Not Available,0,"-8,374.00"
33,23-Dec,22-Dec-23,47034702,TFER,Not Available,Not Available,50,-100
33,23-Dec,23-Dec-23,47035799,MP02,ATM TRANSACTIONS,Not Available,0,-100
33,23-Dec,27-Dec-23,47040655,SDD,EFT,Not Available,0,-238.88
33,23-Dec,29-Dec-23,47047541,TFER,Not Available,Not Available,50,-100
42,23-Dec,05-Dec-23,46992185,1,COUNTER,Not Available,20,0
42,23-Dec,18-Dec-23,47022291,1,COUNTER,Not Available,20,0
42,23-Dec,29-Dec-23,47047085,1,COUNTER,Not Available,20,0
46,23-Dec,01-Dec-23,46980802,SD,EFT,Not Available,50,0
46,23-Dec,08-Dec-23,46997808,SD,EFT,Not Available,50,0
46,23-Dec,15-Dec-23,47013445,SD,EFT,Not Available,50,0
46,23-Dec,18-Dec-23,47022145,N,COUNTER,Not Available,0,-100
46,23-Dec,22-Dec-23,47030044,SD,EFT,Not Available,50,0
46,23-Dec,29-Dec-23,47043364,SD,EFT,Not Available,50,0
50,23-Dec,05-Dec-23,46992239,1,COUNTER,Not Available,0,"-3,000.00"
53,23-Dec,04-Dec-23,46987728,SD,EFT,Not Available,50,0
53,23-Dec,11-Dec-23,47004265,SD,EFT,Not Available,50,0
53,23-Dec,18-Dec-23,47020086,SD,EFT,Not Available,50,0
53,23-Dec,25-Dec-23,47037223,SD,EFT,Not Available,50,0
67,23-Dec,06-Dec-23,46993581,N,COUNTER,Not Available,0,-500
67,23-Dec,07-Dec-23,46994101,SD,EFT,Not Available,250,0
67,23-Dec,14-Dec-23,47010028,SD,EFT,Not Available,160,0
67,23-Dec,20-Dec-23,47026180,N,COUNTER,Not Available,0,"-1,800.00"
67,23-Dec,21-Dec-23,47026477,SD,EFT,Not Available,160,0
67,23-Dec,28-Dec-23,47040773,SD,EFT,Not Available,160,0
68,23-Dec,07-Dec-23,46996068,SCR,EFT,Not Available,83,0
68,23-Dec,07-Dec-23,46996114,SO,EFT,Not Available,0,-83
68,23-Dec,07-Dec-23,46996115,SO,EFT,Not Available,83,0
68,23-Dec,14-Dec-23,47012685,SCR,EFT,Not Available,83,0
68,23-Dec,14-Dec-23,47012711,SO,EFT,Not Available,0,-83
68,23-Dec,14-Dec-23,47012712,SO,EFT,Not Available,83,0
68,23-Dec,21-Dec-23,47029010,SCR,EFT,Not Available,83,0
68,23-Dec,21-Dec-23,47029122,SO,EFT,Not Available,0,-83
68,23-Dec,21-Dec-23,47029123,SO,EFT,Not Available,83,0
68,23-Dec,28-Dec-23,47042185,SCR,EFT,Not Available,83,0
68,23-Dec,28-Dec-23,47042327,SO,EFT,Not Available,0,-83
68,23-Dec,28-Dec-23,47042328,SO,EFT,Not Available,83,0
76,23-Dec,18-Dec-23,47022434,1,COUNTER,Not Available,380,0
105,23-Dec,11-Dec-23,47004266,SD,EFT,Not Available,150,0
114,23-Dec,12-Dec-23,47008275,4,COUNTER,Not Available,150,0
114,23-Dec,21-Dec-23,47028899,0,COUNTER,Not Available,130,0
127,23-Dec,14-Dec-23,47012301,SCR,EFT,Not Available,50,0
127,23-Dec,14-Dec-23,47012480,SO,EFT,Not Available,0,-50
127,23-Dec,14-Dec-23,47012481,SO,EFT,Not Available,50,0
127,23-Dec,28-Dec-23,47042704,SCR,EFT,Not Available,50,0
127,23-Dec,28-Dec-23,47042895,SO,EFT,Not Available,0,-50
127,23-Dec,28-Dec-23,47042896,SO,EFT,Not Available,50,0
141,23-Dec,04-Dec-23,46988086,SCR,EFT,Not Available,20,0
141,23-Dec,04-Dec-23,46988292,SO,EFT,Not Available,0,-20
141,23-Dec,04-Dec-23,46988293,SO,EFT,Not Available,20,0
141,23-Dec,11-Dec-23,47004602,SCR,EFT,Not Available,20,0
141,23-Dec,11-Dec-23,47004718,SO,EFT,Not Available,0,-20
141,23-Dec,11-Dec-23,47004719,SO,EFT,Not Available,20,0
141,23-Dec,18-Dec-23,47020384,SCR,EFT,Not Available,20,0
